FONDO;CONCURSO;ANIO;CONTRATO;TITULO;FECHA_INICIO;FECHA_FIN;NOMBRE_SOLICITANTE;DISTRITO;PROVINCIA;DEPARTAMENTO;UBIGEO;MONTO_RNR;MONTO_FINANCIERO;MONTO_NO_FINANCIERO;MONEDA;FECHA_CORTE;;;;
FINCYT I;PIBAP;2007;006-FINCYT-PIBAP-2007;"VARIABILIDAD GENETICA\; CONSERVACION Y USO SOSTENIBLE DE LA VICUÃ‘A EN EL PERU";20071221;20101229;CONOPA-INSTITUTO DE INVESTIGACION Y DESARROLLO DE CAMELIDOS SUDAMERICANOS;LA MOLINA;LIMA;LIMA;150114;394502.67;0;166890;SOLES;20230706;;;;
FINCYT I;PIBAP;2007;007-FINCYT-PIBAP-2007;GENERACION DE NUCLEOS DE ALPACAS REPRODUCTORAS DE ALTA PRODUCTIVIDAD BASADOS EN LA SELECCION ASISTIDA CON MARCADORES GENETICOS  DE ADN ;20071221;20110120;UNIVERSIDAD;SAN MARTIN DE PORRES;LIMA;LIMA;150135;472644;0;350030.1;SOLES;20230706;;;;
FINCYT I;PIBAP;2008;007-FINCYT-PIBAP-2008;DESARROLLO DE FITOMEDICAMENTOS TOPICOS PARA EL TRATAMIENTO DE MICOSIS SUPERFICIAL Y LEISHMANIASIS CUTANEA....;20080325;20110330;UNIVERSIDAD;SAN MARTIN DE PORRES;LIMA;LIMA;150135;439725;24000;182784;SOLES;20230706;;;;
FINCYT I;PIBAP;2007;008-FINCYT-PIBAP-2007;ESTUDIO DE TOXINAS DE CLOSTRIDIUM PERFRINGENS INVOLUCRADAS EN EL DESARROLLO DE LA ENTEROTEXEMIA DE CRIAS DE ALPACAS;20071228;20110206;UNIVERSIDAD;LIMA;LIMA;LIMA;150101;395891.5;0;107460;SOLES;20230706;;;;
FINCYT I;PIBAP;2008;008-FINCYT-PIBAP-2008;DESARROLLO DE  PINTURAS DE  BAJO IMPACTO AMBIENTAL  PARA  BARCOS PESQUEROS  ;20080131;20111001;UNIVERSIDAD;SAN MIGUEL;LIMA;LIMA;150136;415376.23;13000;83421.4;SOLES;20230706;;;;
FINCYT I;PIBAP;2007;009-FINCYT-PIBAP-2007;"GENERACIÃ“N DE LÃNEAS MEJORADAS DE ALGODÃ“N DE ORIGEN HÃBRIDO\; DE FIBRA LARGA Y EXTRALARGA PARA SU CULTIVO EN LA SELVA DEL PERÃš";20071221;20110629;INSTITUTO NACIONAL DE INNOVACION AGRARIA;LA MOLINA;LIMA;LIMA;150114;393398.39;0;124364;SOLES;20230706;;;;
FINCYT I;PIBAP;2008;009-FINCYT-PIBAP-2008;REDUCCION DEL CONTENIDO DE AZUFRE PRESENTE EN EL PETROLEO CRUDO PESADO MEDIANTE LA APLICACIÃ“N DE COMPUESTOS NANOPARTICULADO DE MOLIBDENO;20080328;20120827;UNIVERSIDAD;LIMA;LIMA;LIMA;150101;230683;0;0;SOLES;20230706;;;;
FINCYT I;PIBAP;2007;010-FINCYT-PIBAP-2007;GENERACIÃ“N DE LÃNEAS GENÃ‰TICAMENTE MEJORADAS DE ALGODÃ“N TIPO DEL CERRO (GOSSYPIUM HIRSUTUM L.) DE FIBRA EXTRA-LARGA PARA SU CULTIVO EN LA COSTA NORTE DEL PERÃš;20071221;20110620;INSTITUTO NACIONAL DE INNOVACION AGRARIA;LA MOLINA;LIMA;LIMA;150114;361310.03;0;127496;SOLES;20230706;;;;
FINCYT I;PIBAP;2008;010-FINCYT-PIBAP-2008;QUAUCHU KULLU: MATERIAL COMPUESTO DE MATRIZ POLIMERICA CON REFUERZO DE MADERA  Y TELA RECICLADOS ;20080131;20120228;UNIVERSIDAD;SAN MIGUEL;LIMA;LIMA;150136;234520.6;6000;48870;SOLES;20230706;;;;
FINCYT I;PIBAP;2007;011-FINCYT-PIBAP-2007;"ESTRATEGIAS DE MANTENIMIENTO DEL GERMOPLASMA VEGETAL EN EL BOSQUE SECO DEL NORTE DEL PERU. EFECTOS DE LA VARIACION INTERANUAL\; DENSIDAD ARBORIA Y LA DISPONIBILIDAD DE AGUA SOBRE LA BIODIVERSIDAD EN ZONAS ARIDAS.";20071221;20100629;UNIVERSIDAD;SAN MARTIN DE PORRES;LIMA;LIMA;150135;244986.52;0;108278.4;SOLES;20230706;;;;
